Year,Production Step,Unit,Distribution,Process Cost,Process Cost Min,Process Cost Max,,,
2020,Purchase mg-Si,kg,Log-normal,2.5,2,3,,,
2020,SoG Poly-Si (exclude mg-Si cost),kg,Log-normal,7.2,5.8,8.6,,,
2020,Mono Wafer (exclude poly-Si cost),wafer,Log-normal,0.24,0.19,0.29,,,
2020,Mono PERC cell (exclude wafer cost),cell,Log-normal,0.22,0.17,0.26,,,
2020,Mono PERC module (exclude cell cost),module,Log-normal,39,31,47,,,
2020,Recycled mg-Si,kg,Uniform,1.5,0,3,,,
2020,Recycled SOG poly-Si,kg,Uniform,5.8,0,11.6,,,
2020,Recycled Mono wafer,wafer,Uniform,0.245,0,0.49,,,
2021,Purchase mg-Si,kg,Log-normal,2.5,2,3,,,
2021,SoG Poly-Si (exclude mg-Si cost),kg,Log-normal,7.2,5.8,8.6,,,
2021,Mono Wafer (exclude poly-Si cost),wafer,Log-normal,0.24,0.19,0.29,,,
2021,Mono PERC cell (exclude wafer cost),cell,Log-normal,0.22,0.17,0.26,,,
2021,Mono PERC module (exclude cell cost),module,Log-normal,39,31,47,,,
2021,Recycled mg-Si,kg,Uniform,1.5,0,3,,,
2021,Recycled SOG poly-Si,kg,Uniform,5.8,0,11.6,,,
2021,Recycled Mono wafer,wafer,Uniform,0.25,0,0.49,,,
2022,Purchase mg-Si,kg,Log-normal,4.98,3.98,5.98,,,
2022,SoG Poly-Si (exclude mg-Si cost),kg,Log-normal,4.06,3.25,4.87,,,
2022,Mono Wafer (exclude poly-Si cost),wafer,Log-normal,0.23,0.19,0.28,,,
2022,Mono PERC cell (exclude wafer cost),cell,Log-normal,0.2,0.16,0.24,,,
2022,Mono PERC module (exclude cell cost),module,Log-normal,40.91,32.73,49.09,,,
2022,Recycled mg-Si,kg,Uniform,2.49,0,4.98,,,
2022,Recycled SOG poly-Si,kg,Uniform,2.03,0,4.06,,,
2022,Recycled Mono wafer,wafer,Uniform,0.12,0,0.23,,,
2023,Purchase mg-Si,kg,Log-normal,3.63,2.9,4.36,,,
2023,SoG Poly-Si (exclude mg-Si cost),kg,Log-normal,7.48,5.99,8.98,,,
2023,Mono Wafer (exclude poly-Si cost),wafer,Log-normal,0.31,0.24,0.37,,,
2023,Mono PERC cell (exclude wafer cost),cell,Log-normal,0.27,0.21,0.32,,,
2023,Mono PERC module (exclude cell cost),module,Log-normal,54.17,43.33,65,,,
2023,Recycled mg-Si,kg,Uniform,1.82,0,3.63,,,
2023,Recycled SOG poly-Si,kg,Uniform,3.74,0,7.48,,,
2023,Recycled Mono wafer,wafer,Uniform,0.15,0,0.31,,,
2024,Purchase mg-Si,kg,Log-normal,3.24,2.59,3.89,,,
2024,SoG Poly-Si (exclude mg-Si cost),kg,Log-normal,2.64,2.11,3.17,,,
2024,Mono Wafer (exclude poly-Si cost),wafer,Log-normal,0.16,0.13,0.19,,,
2024,Mono PERC cell (exclude wafer cost),cell,Log-normal,0.14,0.11,0.17,,,
2024,Mono PERC module (exclude cell cost),module,Log-normal,28.67,22.94,34.41,,,
2024,Recycled mg-Si,kg,Uniform,1.62,0,3.24,,,
2024,Recycled SOG poly-Si,kg,Uniform,1.32,0,2.64,,,
2024,Recycled Mono wafer,wafer,Uniform,0.08,0,0.16,,,
2025,Purchase mg-Si,kg,Log-normal,3.36,2.69,4.03,,,
2025,SoG Poly-Si (exclude mg-Si cost),kg,Log-normal,0.72,0.57,0.86,,,
2025,Mono Wafer (exclude poly-Si cost),wafer,Log-normal,0.11,0.09,0.13,,,
2025,Mono PERC cell (exclude wafer cost),cell,Log-normal,0.1,0.08,0.12,,,
2025,Mono PERC module (exclude cell cost),module,Log-normal,19.87,15.89,23.84,,,
2025,Recycled mg-Si,kg,Uniform,1.68,0,3.36,,,
2025,Recycled SOG poly-Si,kg,Uniform,0.36,0,0.72,,,
2025,Recycled Mono wafer,wafer,Uniform,0.06,0,0.11,,,
