solar_panel,Year,kg_per_cell,cell_active_area,efficiency,cell_to_module_ratio,cells_per_module
monofacial,2020,0.015,0.024566,0.215,0.98,60
monofacial,2021,0.015,0.024566,0.215,0.98,60
monofacial,2022,0.015,0.024566,0.215,0.98,60
monofacial,2023,0.008,0.016562,0.22,0.99,120
monofacial,2024,0.008,0.016562,0.225,0.99,120
monofacial,2025,0.008,0.016562,0.23,0.99,120
bifacial,2020,0.015,0.024566,0.22145,0.98,60
bifacial,2021,0.015,0.024566,0.22145,0.98,60
bifacial,2022,0.015,0.024566,0.22145,0.98,60
bifacial,2023,0.008,0.016562,0.2266,0.99,120
bifacial,2024,0.008,0.016562,0.23175,0.99,120
bifacial,2025,0.008,0.016562,0.2369,0.99,120
